project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
THE QUINN,D19,Outside Central Region,Freehold,,40,1551.0,1142.5,-6.958608278344336,-7.430617726051924,35.75492341356674,7.941611437455531,7.941611437455531,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
SPACE @ KOVAN,D19,Outside Central Region,Freehold,,37,1649.0,1307.5,-2.078384798099764,17.70164168451107,26.118546845124293,4.750424501277251,4.750424501277251,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
KOVAN GRANDEUR,D19,Outside Central Region,99 yrs lease commencing from 2010,2010,34,1372.5,1413.5,-6.759510869565222,-8.316633266533069,-2.9006013441811085,-0.5869706315169476,-0.5869706315169476,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
BLISS@KOVAN,D19,Outside Central Region,Freehold,,29,1648.0,1545.0,-4.574406485234506,3.387703889585958,6.666666666666665,1.299136822423641,1.299136822423641,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
CENTRAL VIEW,D19,Outside Central Region,99 yrs lease commencing from 1998,1998,26,1398.5,954.0,2.7553269654665646,22.19309742245521,46.59329140461217,7.950042884875441,7.950042884875441,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
FONTAINE PARRY,D19,Outside Central Region,999 yrs lease commencing from 1877,1877,26,1569.0,1268.5,4.045092838196296,15.19823788546255,23.68939692550256,4.343762895104297,4.343762895104297,0.0,False,-0.06,5yr,ura_5yr_cagr,2026-06-07
THE WATERLINE,D19,Outside Central Region,Freehold,,26,1509.0,1133.0,3.2147742818057434,25.17627540439651,33.18623124448368,5.899001677854865,5.899001677854865,0.0,False,-0.537,5yr,ura_5yr_cagr,2026-06-07
PALM GROVE CONDOMINIUM,D19,Outside Central Region,999 yrs lease commencing from 1878,1878,25,1560.0,1250.5,9.320252277505258,8.333333333333325,24.750099960016,4.5221129266931115,4.5221129266931115,0.0,False,0.96,5yr,ura_5yr_cagr,2026-06-07
OASIS GARDEN,D19,Rest of Central Region,Freehold,,24,1673.0,1301.0,-4.9161693662972406,5.352644836272047,28.5933897002306,5.1583417052084135,5.1583417052084135,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
GAMBIR RIDGE,D19,Outside Central Region,Freehold,,23,1716.0,1438.5,10.852713178294572,9.264565425023875,19.29092805005215,3.590870711725813,3.590870711725813,0.0,False,1.0,5yr,ura_5yr_cagr,2026-06-07
ISUITES @ PALM,D19,Outside Central Region,999 yrs lease commencing from 1878,1878,23,1342.0,1180.0,-14.00192246074976,-5.890603085554003,13.728813559322028,2.6063176115676434,2.6063176115676434,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
THE CHUAN,D19,Outside Central Region,999 yrs lease commencing from 1877,1877,23,2130.5,1671.0,2.13326941514862,2.4278846153846123,27.498503889886305,4.97865826264321,4.97865826264321,0.0,False,-0.569,5yr,ura_5yr_cagr,2026-06-07
HOUGANG GREEN,D19,Outside Central Region,99 yrs lease commencing from 1994,1994,22,1012.5,701.0,0.9471585244267278,24.69211822660098,44.43651925820258,7.630511146965713,7.630511146965713,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
AMARANDA GARDENS,D19,Outside Central Region,Freehold,,21,2247.0,1553.5,2.2758306781975435,13.456197929815694,44.641132925651746,7.660988487597509,7.660988487597509,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
KENSINGTON PARK CONDOMINIUM,D19,Outside Central Region,999 yrs lease commencing from 1878,1878,21,1780.0,,7.42305371152685,17.41424802110818,,,5.2962392179839,0.0,False,0.324,3yr,ura_data,2026-06-07
NOUVELLE PARK,D19,Outside Central Region,Freehold,,21,1419.0,1130.0,6.371814092953532,7.256235827664392,25.57522123893805,4.660014457185069,4.660014457185069,0.0,False,0.342,5yr,ura_5yr_cagr,2026-06-07
JANSEN HOUSE,D19,Outside Central Region,999 yrs lease commencing from 1876,1876,19,2050.5,,0.8607968519429354,,,,,1.0,True,,1yr,ura_data,2026-06-07
KOVAN JEWEL,D19,Outside Central Region,Freehold,,19,2236.0,,4.193849021435225,5.174035747883354,,,,1.0,True,0.494,3yr,ura_data,2026-06-07
